column	source	notes
PC13	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC14	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC15	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC16	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC17	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC18	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC19	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC20	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC21	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC22	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC23	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC24	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC25	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC26	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC27	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC28	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC29	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC30	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC31	full.tsv.gz global full-training PCA	canonical PCs; match v3
PC32	full.tsv.gz global full-training PCA	canonical PCs; match v3
lr_PC1	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC1; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC1
lr_PC2	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC2; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC2
lr_PC3	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC3; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC3
lr_PC4	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC4; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC4
lr_PC5	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC5; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC5
lr_PC6	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC6; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC6
lr_PC7	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC7; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC7
lr_PC8	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC8; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC8
lr_PC9	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC9; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC9
lr_PC10	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC10; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC10
lr_PC11	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC11; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC11
lr_PC12	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC12; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC12
lr_PC13	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC13; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC13
lr_PC14	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC14; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC14
lr_PC15	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC15; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC15
lr_PC16	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC16; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC16
lr_PC17	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC17; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC17
lr_PC18	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC18; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC18
lr_PC19	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC19; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC19
lr_PC20	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC20; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC20
lr_PC21	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC21; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC21
lr_PC22	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC22; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC22
lr_PC23	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC23; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC23
lr_PC24	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC24; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC24
lr_PC25	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC25; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC25
lr_PC26	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC26; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC26
lr_PC27	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC27; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC27
lr_PC28	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC28; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC28
lr_PC29	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC29; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC29
lr_PC30	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC30; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC30
lr_PC31	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC31; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC31
lr_PC32	tractor_mix/pca/deepvariant_lr_v1/global_pcs.tsv (DeepVariant long-read global PCA)	long-read global PC32; includes HPRC/HGSVC3 HG/NA controls; does not replace short-read PC32
lr_pop_PC1	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC1; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC2	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC2; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC3	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC3; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC4	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC4; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC5	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC5; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC6	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC6; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC7	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC7; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC8	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC8; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC9	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC9; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC10	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC10; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC11	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC11; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC12	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC12; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC13	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC13; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC14	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC14; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC15	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC15; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC16	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC16; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC17	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC17; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC18	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC18; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC19	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC19; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC20	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC20; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC21	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC21; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC22	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC22; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC23	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC23; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC24	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC24; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC25	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC25; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC26	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC26; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC27	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC27; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC28	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC28; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC29	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC29; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC30	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC30; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC31	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC31; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
lr_pop_PC32	population_pcs.tsv (DeepVariant long-read within-population PCA)	long-read within-population PC32; computed within ancestry_pred_other subsets; does not replace short-read pop_PC*
pop_PC1	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC2	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC3	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC4	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC5	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC6	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC7	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC8	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC9	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC10	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC11	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC12	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC13	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC14	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC15	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC16	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC17	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC18	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC19	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC20	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC21	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC22	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC23	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC24	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC25	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC26	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC27	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC28	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC29	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC30	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC31	pc.log.gz population-specific PCA	within-population PCA axis
pop_PC32	pc.log.gz population-specific PCA	within-population PCA axis
has_global_pcs	derived	True if matched to a global full-training PCA row
has_lr_pcs	derived	True if matched to a long-read global PCA row in global_pcs.tsv
has_lr_pop_pcs	derived	True if matched to a long-read within-population PCA row in population_pcs.tsv
has_pop_pcs	derived	True if matched to a population-specific PCA row
in_cdr_v7	lr.tsv	any repeated membership record marked v7
in_cdr_v8	lr.tsv	any repeated membership record marked v8
in_cdr_v9	lr.tsv	any repeated membership record marked v9
has_methylation	derived from lr_phase	True for phase_2 and phase_1_phase_2; False for phase_1-only and unlabeled
in_phenotype_table	AoU_Phase2_Phenotype.csv.gz person_id	True if research_id appears in the phenotype export; not trait ascertainment
biobank_id	final_set (+ ha_research_ids.csv fill)	technical final-set value where available; HA mapping fills missing IDs
GC	final_set (+ Phase 1 fill)	genome center; phase_1-only filled as HA (HudsonAlpha)
technology	final_set (+ Phase 1 fill)	PacBio-prefer collapse when a v9 technical row exists; phase_1-only filled as PacBio
platform	final_set (+ Phase 1 fill)	from collapsed technical row when available; phase_1-only filled as Sequel
pb_meth_caller	final_set PacBioMethylationCaller (+ Phase 1 fill)	phase_1-only filled as none (no methylation)
inferred_sex	final_set sex	
coverage	final_set / Integratedcall-GRCh38.tsv (+ merged_all_df.csv.gz fill)	v9 technical coverage where available; Phase 1-only uses integratedcall aligned fold coverage; merged_all fills only missing values when person-level value is unique
coverage_source	derived	v9_technical, integratedcall_phase1, or merged_all_df; NA when coverage is unavailable
ont_coverage	ont-sample-hg38.tsv mosdepth_cov	separate ONT mosdepth coverage for curated Phase 1 ONT samples; never substitutes for coverage
ont_aligned_num_bases	ont-sample-hg38.tsv aligned_num_bases	curated Phase 1 ONT aligned bases
ont_aligned_num_reads	ont-sample-hg38.tsv aligned_num_reads	curated Phase 1 ONT aligned reads
ont_read_length_n50	ont-sample-hg38.tsv aligned_read_length_N50	curated Phase 1 ONT read-length N50
ont_read_length_mean	ont-sample-hg38.tsv aligned_read_length_mean	curated Phase 1 ONT mean read length
ont_read_length_median	ont-sample-hg38.tsv aligned_read_length_median	curated Phase 1 ONT median read length
ont_read_length_stdev	ont-sample-hg38.tsv aligned_read_length_stdev	curated Phase 1 ONT read-length standard deviation
ont_average_identity	ont-sample-hg38.tsv average_identity	curated Phase 1 ONT average alignment identity (percent)
ont_median_identity	ont-sample-hg38.tsv median_identity	curated Phase 1 ONT median alignment identity (percent)
has_sv_counts	counts.tar.gz	True if a Phase 2 caller-specific SV-count record is available after center-matched duplicate resolution
n_sv_del	derived from counts.tar.gz / sv_sens_07_counts.json	Phase 2: max deletion count across PAV/PBSV/Sniffles ≥50 bp; Phase 1: sens07 DEL; Phase 2 value takes precedence for re-sequenced people
n_sv_ins	derived from counts.tar.gz / sv_sens_07_counts.json	Phase 2: max insertion count across PAV/PBSV/Sniffles ≥50 bp; Phase 1: sens07 INS; Phase 2 value takes precedence for re-sequenced people
is_AIAN	final_set	
withdrawn	final_set withdrew	any TRUE across final-set rows; authoritative consent withdrawal
unavailable	derived from final-set	in final-set, not withdrawn, and no v9-releasable row (set-aside)
final_releasable_v9	final_set long_read releasable flag	any releasable=1 across final-set rows
in_final_set	derived	True if research_id appears in Steve final-set
n_final_rows	final_set	number of final-set sequencing rows for this ID
has_lr_tech	derived	in ONT∪PacBio v9 sheets
has_ONT	ONT_v9 (+ Phase 1 curated ONT list)	True if in CDRv9 ONT sheet or curated Phase 1 additional-ONT research IDs
has_PacBio	PacBio_v9	True if present in CDRv9 PacBio lrWGS sheet
n_lr_technical_rows	final_set (+ Phase 1 fill)	number of long-read technical source rows before person-level collapse; Phase 1-only set to 1 for its known single PacBio run
techs_available	final_set (+ Phase 1 fill / Phase 1 ONT list)	technologies observed before collapse; phase_1-only default PacBio; curated Phase 1 ONT list → ONT|PacBio
